x;y;gunHeading;enemyDistance;enemyHeading;enemyVelocity;hit
191,097005;31,428497;72,988954;482,900201;340,780207;0,000000;1
198,565095;34,296880;68,988954;474,903572;340,780207;0,000000;0
205,814905;37,679224;64,988954;466,943485;340,780207;0,000000;0
347,415943;156,771973;80,988954;301,282176;340,780207;0,000000;1
355,385366;157,470755;84,988954;293,285429;340,780207;0,000000;0
363,384120;157,611917;88,988954;285,325470;340,780207;0,000000;0
394,116712;266,645452;110,988954;294,122604;162,988954;0,000000;1
386,865598;270,025001;114,988954;302,122509;162,988954;0,000000;0
379,614484;273,404549;114,988954;310,122420;162,988954;0,000000;0
372,363370;276,784097;114,988954;318,122335;162,988954;0,000000;0
365,112256;280,163645;114,988954;326,122254;162,988954;0,000000;0
357,861143;283,543194;114,988954;334,122177;162,988954;0,000000;0
350,610029;286,922742;114,988954;342,122103;162,988954;0,000000;0
343,358915;290,302290;114,988954;350,122033;162,988954;0,000000;0
336,107801;293,681838;114,988954;358,121966;162,988954;0,000000;0
328,856687;297,061386;114,988954;366,121902;162,988954;0,000000;0
321,605573;300,440935;114,988954;374,121841;162,988954;0,000000;0
314,354459;303,820483;114,988954;382,121782;162,988954;0,000000;0
307,103345;307,200031;114,988954;390,121726;162,988954;0,000000;0
299,852231;310,579579;114,988954;398,121672;162,988954;0,000000;0
292,601117;313,959127;114,988954;406,121620;162,988954;0,000000;0
285,350003;317,338676;114,988954;414,121570;162,988954;0,000000;0
278,098889;320,718224;114,988954;422,121522;162,988954;0,000000;0
270,847775;324,097772;114,988954;430,121475;162,988954;0,000000;0
263,596661;327,477320;114,988954;438,121431;162,988954;0,000000;0
256,345547;330,856869;114,988954;446,121388;172,988954;0,000000;0
249,094433;334,236417;114,988954;454,121347;182,988954;0,000000;0
241,843319;337,615965;114,988954;462,121306;192,988954;0,000000;0
234,592205;340,995513;114,988954;470,121268;200,988954;0,000000;0
227,341091;344,375061;114,988954;478,055539;200,988954;-1,000000;0
220,089977;347,754610;114,988954;485,930065;200,988954;-2,000000;0
212,838863;351,134158;114,988954;493,756467;200,988954;-3,000000;0
205,587749;354,513706;114,988954;501,551603;200,988954;-4,000000;0
198,336635;357,893254;114,988954;509,337184;200,988954;-5,000000;0
191,085521;361,272802;114,988954;517,139409;200,988954;-6,000000;0
283,496381;163,082854;84,988954;396,669351;200,988954;0,000000;1
291,397646;164,335853;80,988954;388,701209;200,988954;0,000000;0
552,328569;266,578480;128,988954;181,947164;174,988954;0,000000;1
558,180451;261,123621;132,988954;173,948059;174,988954;0,000000;0
563,637566;255,273843;136,988954;165,960517;174,988954;0,000000;0
568,673327;249,057646;140,988954;158,028150;174,988954;0,000000;0
573,263202;242,505315;144,988954;150,201387;174,988954;0,000000;0
51,623563;214,810204;92,488954;664,368700;218,988954;0,000000;1
57,553908;213,898607;98,738954;658,398508;218,988954;0,000000;0
133,304903;193,984931;90,988954;581,927156;218,988954;0,000000;0
141,293858;194,405159;86,988954;573,951526;218,988954;0,000000;0
76,383322;580,452265;124,238954;780,057751;182,488954;0,000000;1
78,586682;578,416288;132,738954;777,082979;182,488954;0,000000;0
151,625022;311,897202;108,988954;590,149989;182,488954;0,000000;0
159,352828;309,828140;104,988954;582,161213;182,488954;0,000000;0
467,936179;411,248180;128,988954;363,828829;214,238954;0,000000;1
473,788061;405,793322;132,988954;355,832130;214,238954;0,000000;0
479,245175;399,943544;136,988954;347,872089;214,238954;0,000000;0
103,957695;243,255551;101,988954;615,736078;218,988954;0,000000;1
111,648213;241,051934;105,988954;607,774429;218,988954;0,000000;0
164,543527;223,434130;98,988954;552,631552;218,988954;0,000000;0
172,513218;222,738420;94,988954;544,657001;218,988954;0,000000;0
54,371983;582,000000;128,988954;777,097587;191,988954;0,000000;0
124,323558;353,043345;104,988954;619,999732;191,988954;0,000000;1
132,176870;351,518387;100,988954;612,032239;191,988954;0,000000;0
444,215906;443,158749;136,988954;406,557516;194,988954;2,500000;1
449,251668;436,942552;140,988954;398,844354;194,988954;0,500000;0
453,841542;430,390221;144,988954;390,878585;194,988954;0,000000;0
126,741521;291,052657;100,238954;629,240202;226,988954;0,000000;1
134,495748;289,084925;104,238954;621,250150;226,988954;0,000000;0
187,566986;271,922710;98,988954;565,873654;226,988954;0,000000;0
195,536678;271,227000;94,988954;557,914186;226,988954;0,000000;0
31,436692;555,810504;124,488954;828,665377;190,238954;0,000000;0
38,412061;488,866675;118,988954;789,125182;190,238954;0,000000;1
45,706791;485,582331;114,238954;781,143292;190,238954;0,000000;0
189,949550;578,499962;131,738954;713,632938;190,238954;0,000000;0
192,547929;575,458839;139,488954;709,685208;190,238954;0,000000;0
62,998923;578,494616;120,238954;811,429789;208,988954;0,000000;1
66,624480;576,804842;114,988954;807,451506;208,988954;0,000000;0
76,286498;571,580973;121,238954;796,479003;208,988954;0,000000;0
81,896082;567,393783;126,738954;789,514245;208,988954;0,000000;0
70,178109;395,449501;112,988954;719,216458;210,238954;0,000000;1
77,429223;392,069953;114,988954;711,222971;210,238954;0,000000;0
92,149533;385,824901;110,988954;695,232981;210,238954;0,000000;0
99,800421;383,487403;106,988954;687,272540;210,238954;0,000000;0
75,348630;403,467699;110,738954;718,947860;202,988954;0,000000;1
68,082839;406,815577;114,738954;726,914197;202,988954;0,000000;0
144,525522;207,785684;92,988954;610,018482;200,738954;1,000000;0
152,524276;207,926846;88,988954;601,488009;200,738954;2,000000;0
416,553649;321,741966;120,988954;378,897467;200,738954;0,000000;1
423,107749;317,154618;124,988954;370,904237;200,738954;0,000000;0
429,325888;312,121254;128,988954;362,954912;200,738954;0,000000;0
338,887301;498,058183;358,754549;58,192799;234,877136;0,000000;0
339,017714;492,059601;358,754549;64,000837;234,877136;0,000000;0
339,169863;485,061254;358,754549;70,817346;234,877136;0,000000;0
339,343747;477,063144;358,754549;78,647124;234,877136;0,000000;0
339,517631;469,065034;358,754549;86,508056;234,877136;0,000000;0
339,691515;461,066924;358,754549;94,392359;234,877136;0,000000;0
339,865399;453,068814;358,754549;102,294628;234,877136;0,000000;0
340,039283;445,070704;358,754549;110,211000;234,877136;0,000000;0
340,213167;437,072594;358,754549;118,138640;234,877136;0,000000;0
340,387051;429,074484;358,754549;126,075421;234,877136;0,000000;0
340,560935;421,076374;358,754549;134,019720;234,877136;0,000000;0
340,734819;413,078264;358,754549;141,970275;234,877136;0,000000;0
340,908703;405,080154;358,754549;149,926091;234,877136;0,000000;0
341,082587;397,082044;358,754549;157,886371;234,877136;0,000000;0
